0: 474-506 515-530 543-562 579-592 661-673 695-736 760-772
1: 474-506 516-591 662-673 695-736 760-771
2: 474-506 517-590 663-770 808-841
3: 474-506 518-589 664-769 808-841
4: 475-505 519-588 665-768 808-841
5: 476-504 520-587 666-767 808-841
6: 477-503 521-586 667-766 808-841
7: 478-502 522-585 668-765 808-841
8: 479-501 523-584 669-764 808-841
9: 480-500 524-530 543-562 579-583 670-763 808-841
10: 481-499 525-530 543-562 579-582 671-673 695-736 760-762 808-841
11: 482-498 526-530 543-562 579-581 672-673 695-736 760-761 808-841
12: 482-498 527-530 543-562 579-580 673-673 695-736 760-760 808-841
13: 482-498 528-530 543-562 579-579 695-736 808-841
14: 482-498 529-530 543-562 695-736 808-841
15: 482-498 530-530 543-562 808-841
16: 482-498 808-841
17: 482-498 808-841
18: 482-498 808-841
19: 482-498 808-841
20: 482-498 808-841
21: 407-470 482-498 612-801 808-841
22: 407-470 482-498 612-801 808-841
23: 407-470 482-498 612-801 808-841
24: 407-470 482-498 612-801 808-841
25: 407-470 482-498 612-801 808-841
26: 407-470 482-498 612-801 808-841
27: 407-470 482-498 612-801 808-841
28: 407-470 482-498 612-801 808-841
29: 407-470 482-498 612-801 808-841
30: 407-470 482-498 612-801 808-841
31: 407-470 482-498 612-801 808-841
32: 407-470 482-498 612-801 808-841
33: 407-470 482-498 612-801 808-841
34: 407-470 482-498 612-801 808-841
35: 407-470 482-498 612-801 808-841
36: 407-470 482-498 612-801 808-841
37: 407-470 482-498 539-801 808-841
38: 407-470 482-498 539-801 808-841
39: 407-470 482-498 539-801 808-841
40: 407-470 482-498 539-801 808-841
41: 407-470 482-498 539-801 808-841
42: 407-470 482-498 539-801 808-841
43: 407-470 482-498 539-801 808-841
44: 407-470 482-498 539-801 808-841
45: 399-476 482-498 539-801 808-841
46: 399-476 482-498 539-801 808-841
47: 399-476 482-498 539-801 808-841
48: 399-476 482-498 539-801 808-841
49: 399-476 482-498 539-801 808-841
50: 399-476 482-498 539-801 808-841
51: 399-476 482-498 539-801 808-841
52: 399-476 482-498 539-801 808-841
53: 399-476 482-498 510-801 808-841
54: 399-476 482-498 510-801 808-841
55: 399-476 482-498 510-793 808-841
56: 399-476 482-498 510-793 808-841
57: 399-476 482-498 510-793 808-841
58: 399-476 482-498 510-793 808-841
59: 399-476 482-498 510-793 808-841
60: 399-476 482-498 510-793 808-841
61: 399-476 482-498 510-793 808-841
62: 399-476 482-498 510-793 808-841
63: 399-476 482-498 510-793 808-841
64: 399-476 482-498 510-793 808-841
65: 386-476 482-498 510-793 808-841
66: 386-476 482-498 510-793 808-841
67: 386-476 482-498 510-793 808-841
68: 386-476 482-498 510-793 808-841
69: 386-476 482-498 510-793 808-841
70: 386-476 482-498 510-793 808-841
71: 386-476 482-498 510-793 808-841
72: 386-476 482-498 510-793 808-841
73: 386-476 482-498 510-793 808-841
74: 386-476 482-498 510-747 808-841
75: 386-476 482-498 510-747 808-841
76: 386-476 482-498 510-747 808-841
77: 386-476 482-498 510-747 808-841
78: 386-476 482-498 510-747 808-841
79: 386-468 482-498 510-747 808-841
80: 386-472 482-498 510-747 808-841
81: 386-472 482-498 510-747 808-841
82: 386-472 482-498 510-747 808-841
83: 386-472 482-498 510-747 808-841
84: 386-472 482-498 510-747 808-841
85: 386-472 482-498 510-747 808-841
86: 386-472 482-498 510-747 808-841
87: 386-472 482-498 510-747 808-841
88: 386-472 482-498 510-747 808-841
89: 386-472 482-498 510-747 808-841
90: 386-472 482-498 510-747 808-841
91: 386-472 482-498 510-747 808-841
92: 386-472 482-498 510-747 808-841
93: 385-472 482-498 510-747 808-841
94: 385-472 482-498 510-747 808-841
95: 385-472 482-498 510-747 808-841
96: 385-472 482-498 510-747 808-841
97: 385-472 482-498 510-747 808-841
98: 385-472 482-498 510-747 808-841
