y=  0: 474-506  515-530  543-562  579-592  661-673  695-736  760-772  
y=  1: 474-506  516-591  662-673  695-736  760-771  
y=  2: 474-506  517-590  663-770  808-841  
y=  3: 474-506  518-589  664-769  808-841  
y=  4: 475-505  519-588  665-768  808-841  
y=  5: 476-504  520-587  666-767  808-841  
y=  6: 477-503  521-586  667-766  808-841  
y=  7: 478-502  522-585  668-765  808-841  
y=  8: 479-501  523-584  669-764  808-841  
y=  9: 480-500  524-530  543-562  579-583  670-763  808-841  
y= 10: 481-499  525-530  543-562  579-582  671-673  695-736  760-762  808-841  
y= 11: 482-498  526-530  543-562  579-581  672-673  695-736  760-761  808-841  
y= 12: 482-498  527-530  543-562  579-580  673-673  695-736  760-760  808-841  
y= 13: 482-498  528-530  543-562  579-579  695-736  808-841  
y= 14: 482-498  529-530  543-562  695-736  808-841  
y= 15: 482-498  530-530  543-562  808-841  
y= 16: 482-498  808-841  
y= 17: 482-498  808-841  
y= 18: 482-498  808-841  
y= 19: 482-498  808-841  
y= 20: 482-498  808-841  
y= 21: 407-470  482-498  612-801  808-841  
y= 22: 407-470  482-498  612-801  808-841  
y= 23: 407-470  482-498  612-801  808-841  
y= 24: 407-470  482-498  612-801  808-841  
y= 25: 407-470  482-498  612-801  808-841  
y= 26: 407-470  482-498  612-801  808-841  
y= 27: 407-470  482-498  612-801  808-841  
y= 28: 407-470  482-498  612-801  808-841  
y= 29: 407-470  482-498  612-801  808-841  
y= 30: 407-470  482-498  612-801  808-841  
y= 31: 407-470  482-498  612-801  808-841  
y= 32: 407-470  482-498  612-801  808-841  
y= 33: 407-470  482-498  612-801  808-841  
y= 34: 407-470  482-498  612-801  808-841  
y= 35: 407-470  482-498  612-801  808-841  
y= 36: 407-470  482-498  612-801  808-841  
y= 37: 407-470  482-498  539-801  808-841  
y= 38: 407-470  482-498  539-801  808-841  
y= 39: 407-470  482-498  539-801  808-841  
y= 40: 407-470  482-498  539-801  808-841  
y= 41: 407-470  482-498  539-801  808-841  
y= 42: 407-470  482-498  539-801  808-841  
y= 43: 407-470  482-498  539-801  808-841  
y= 44: 407-470  482-498  539-801  808-841  
y= 45: 399-476  482-498  539-801  808-841  
y= 46: 399-476  482-498  539-801  808-841  
y= 47: 399-476  482-498  539-801  808-841  
y= 48: 399-476  482-498  539-801  808-841  
y= 49: 399-476  482-498  539-801  808-841  
y= 50: 399-476  482-498  539-801  808-841  
y= 51: 399-476  482-498  539-801  808-841  
y= 52: 399-476  482-498  539-801  808-841  
y= 53: 399-476  482-498  510-801  808-841  
y= 54: 399-476  482-498  510-801  808-841  
y= 55: 399-476  482-498  510-793  808-841  
y= 56: 399-476  482-498  510-793  808-841  
y= 57: 399-476  482-498  510-793  808-841  
y= 58: 399-476  482-498  510-793  808-841  
y= 59: 399-476  482-498  510-793  808-841  
y= 60: 399-476  482-498  510-793  808-841  
y= 61: 399-476  482-498  510-793  808-841  
y= 62: 399-476  482-498  510-793  808-841  
y= 63: 399-476  482-498  510-793  808-841  
y= 64: 399-476  482-498  510-793  808-841  
y= 65: 386-476  482-498  510-793  808-841  
y= 66: 386-476  482-498  510-793  808-841  
y= 67: 386-476  482-498  510-793  808-841  
y= 68: 386-476  482-498  510-793  808-841  
y= 69: 386-476  482-498  510-793  808-841  
y= 70: 386-476  482-498  510-793  808-841  
y= 71: 386-476  482-498  510-793  808-841  
y= 72: 386-476  482-498  510-793  808-841  
y= 73: 386-476  482-498  510-793  808-841  
y= 74: 386-476  482-498  510-747  808-841  
y= 75: 386-476  482-498  510-747  808-841  
y= 76: 386-476  482-498  510-747  808-841  
y= 77: 386-476  482-498  510-747  808-841  
y= 78: 386-476  482-498  510-747  808-841  
y= 79: 386-468  482-498  510-747  808-841  
y= 80: 386-472  482-498  510-747  808-841  
y= 81: 386-472  482-498  510-747  808-841  
y= 82: 386-472  482-498  510-747  808-841  
y= 83: 386-472  482-498  510-747  808-841  
y= 84: 386-472  482-498  510-747  808-841  
y= 85: 386-472  482-498  510-747  808-841  
y= 86: 386-472  482-498  510-747  808-841  
y= 87: 386-472  482-498  510-747  808-841  
y= 88: 386-472  482-498  510-747  808-841  
y= 89: 386-472  482-498  510-747  808-841  
y= 90: 386-472  482-498  510-747  808-841  
y= 91: 386-472  482-498  510-747  808-841  
y= 92: 386-472  482-498  510-747  808-841  
y= 93: 385-472  482-498  510-747  808-841  
y= 94: 385-472  482-498  510-747  808-841  
y= 95: 385-472  482-498  510-747  808-841  
y= 96: 385-472  482-498  510-747  808-841  
y= 97: 385-472  482-498  510-747  808-841  
y= 98: 385-472  482-498  510-747  808-841  
y= 99: 385-472  482-498  510-747  808-841  
y=100: 385-472  482-498  510-747  808-841  
y=101: 385-472  482-498  510-747  808-841  
y=102: 385-472  482-498  510-747  808-841  
y=103: 385-472  482-498  510-747  808-841  
y=104: 385-472  482-498  510-747  808-841  
y=105: 385-472  482-498  510-747  808-841  
y=106: 385-472  482-498  510-747  808-841  
y=107: 385-472  482-498  510-747  808-841  
y=108: 385-472  482-498  510-747  808-841  
y=109: 385-472  482-498  510-747  808-841  
y=110: 385-472  482-498  510-747  808-841  
y=111: 385-472  482-498  510-747  808-841  
y=112: 385-472  482-498  510-747  808-841  
y=113: 385-472  482-498  510-747  808-841  
y=114: 385-471  482-498  528-675  808-841  
y=115: 385-471  482-498  528-675  808-841  
y=116: 385-471  482-498  528-675  808-841  
y=117: 385-471  482-498  528-675  808-841  
y=118: 385-471  482-498  527-675  808-841  
y=119: 385-471  482-498  527-675  808-841  
y=120: 385-471  482-498  527-675  808-841  
y=121: 385-471  482-498  527-675  808-841  
y=122: 385-471  482-498  527-675  808-841  
y=123: 385-471  482-498  527-675  808-841  
y=124: 385-471  482-498  527-675  808-841  
y=125: 385-471  482-498  527-675  808-841  
y=126: 385-471  482-498  527-675  808-841  
y=127: 408-471  482-498  527-675  808-841  
y=128: 408-471  482-498  527-675  808-841  
y=129: 408-471  482-498  527-675  808-841  
y=130: 408-471  482-498  527-675  808-841  
y=131: 408-471  482-498  527-675  808-841  
y=132: 408-471  482-498  527-675  808-841  
y=133: 408-471  482-498  527-675  808-841  
y=134: 408-471  482-498  527-654  808-841  
y=135: 408-471  482-498  527-654  808-841  
y=136: 408-471  482-498  527-654  808-841  
y=137: 408-471  482-498  527-654  808-841  
y=138: 408-471  482-498  527-654  808-841  
y=139: 408-471  482-498  527-654  808-841  
y=140: 408-471  482-498  527-654  802-806  808-841  843-847  
y=141: 408-471  482-498  527-654  800-849  
y=142: 408-471  482-498  527-654  799-850  
y=143: 482-498  527-654  799-850  902-906  
y=144: 482-498  527-654  798-851  900-908  
y=145: 482-498  527-654  798-851  899-909  
y=146: 482-498  527-654  798-851  899-909  
y=147: 482-498  527-654  798-851  898-910  
y=148: 482-498  527-654  798-851  898-910  
y=149: 482-498  527-654  799-851  898-910  
y=150: 482-498  527-654  799-850  898-910  
y=151: 482-498  527-654  800-849  898-910  
y=152: 482-498  527-654  802-847  899-910  
y=153: 482-498  527-736  769-910  
y=154: 482-498  562-737  768-910  
y=155: 482-498  562-738  769-910  
y=156: 482-498  562-738  768-910  
y=157: 482-498  562-738  769-910  
y=158: 482-498  562-737  770-910  
y=159: 482-498  562-738  771-910  
